date,price_inr,odometer_km,litres,rate_inr_per_litre,note
June 1 2025,2000,,,,
June 10 2025,2000,,,,
June 17 2025,2000,,,,
June 29 2025,2000,,,,
July 5 2025,2000,,,,
July 12 2025,2000,,,,
July 18 2025,2000,,,,
July 26 2025,2000,,,,
Aug 5 2025,2000,,,,
Aug 11 2025,2000,,,,
Aug 19 2025,2000,43012,,,
Aug 29 2025,2000,43258,,,
Sept 5 2025,2000,43453,,,
Sept 10 2025,2000,43646,,,
Sept 23 2025,2000,43914,,,
Sept 28 2025,2000,44144,,,
Sept 30 2025,1750,44231,,,
Oct 2 2025,2000,44653,,,
Oct 8 2025,2000,45064,,,
Oct 15 2025,1000,45298,,,
Oct 18 2025,1000,45351,,,
Oct 27 2025,2000,45559,,,
Oct 29 2025,,,,,service
Nov 6 2025,2000,45750,,,
Nov 15 2025,2000,46058,,,
Nov 25 2025,2000,46321,,,
Dec 6 2025,2000,46565,,,
Dec 12 2025,2000,,,,
Dec 21 2025,2000,47131,,,
Dec 31 2025,2000,47382,,,
Jan 9 2026,2000,47626,,,
Jan 21 2026,2000,47953,,,
Jan 29 2026,2000,48198,,,
Feb 5 2026,2000,48444,,,
Feb 12 2026,2800,48721,,,
Feb 23 2026,2000,49109,,,
March 1 2026,2000,49322,,,
March 7 2026,2000,49555,,,
March 12 2026,2792,49783,,,
March 26 2026,3217,50219,,,
April 12 2026,2000,50647,,,
April 19 2026,2000,50866,,,
May 5 2026,2000,51377,,,
May 11 2026,2000,51581,,,
May 31 2026,2000,52112,18.54,107.88,few refills before this were not recorded
June 22 2026,2000,52824,18.54,107.88,
June 28 2026,2000,52992,18.54,107.88,
July 5 2026,2000,53303,18.54,107.89,
July 16 2026,2000,53524,18.54,107.89,
July 22 2026,2000,53742,18.54,107.89,
