order_id,customer_id,order_date,product,quantity,unit_price
ORD0037,CUST012,2026-01-09,Keyboard,1,1083
ORD0016,CUST031,2026-01-08,Laptop,2,54037
ORD0013, CUST027 ,2026-02-17,Headphones,5,1989
ORD0030, CUST017 ,2026-05-19,Monitor,4,9984
ORD0063,CUST008,2026-01-16,Headphones,1,2128
ORD0071,CUST019,2026-04-13,Keyboard,5,1099
ORD0135,CUST006,2026-06-09,Webcam,4,1765
ORD0144,CUST025,2026-05-23,Laptop,2,59991
ORD0025,CUST028,2026-04-07,Headphones,3,2143
ORD0061,CUST150,2026-04-09,Laptop,1,53066
ORD0023,CUST024,2026-02-15,Mouse,2,635
ORD0054, CUST002 ,2026-03-04,Laptop,4,56895
ORD0098,CUST022,2026-06-13,Webcam,2,1623
ORD0084,CUST025,2026-01-16,Keyboard,3,1227
ORD0103,cust010,2026-01-06,Monitor,4,9470
ORD0080,CUST032,2026-03-25,Headphones,4,2198
ORD0150,CUST024,2026-02-01,Monitor,1,9817
ORD0120,CUST150,2026-01-03,Mouse,3,619
ORD0140,CUST001,2026-06-26,Laptop,4,50958
ORD0128,CUST024,2026-02-04,Laptop,1,52605
ORD0008,CUST031,2026-02-18,Webcam,5,1687
ORD0018,CUST021,2026-05-17,Headphones,2,2334
ORD0039,CUST029,2026-06-14,Laptop,4,58444
ORD0091,CUST003,2026-02-21,Webcam,3,1890
ORD0122,CUST015,2026-05-22,Mouse,2,635
ORD0057,CUST006,2026-06-24,Webcam,4,1749
ORD0117,CUST020,2026-05-08,Webcam,3,1783
ORD0086,CUST018,2026-06-15,Mouse,4,579
ORD0148,CUST003,2026-01-13,Webcam,5,1853
ORD0002,cust023,2026-01-08,Keyboard,4,1130
ORD0046,CUST003,2026-02-01,Keyboard,3,1177
ORD0116, CUST028 ,2026-04-06,Monitor,1,10193
ORD0044,CUST016,2026-04-06,Webcam,2,1757
ORD0032,CUST018,2026-03-03,Laptop,5,53143
ORD0125,CUST019,2026-01-13,Headphones,3,2105
ORD0056,CUST017,2026-01-24,Laptop,5,58268
ORD0092,,2026-01-03,Webcam,3,1888
ORD0073,CUST019,2026-02-09,Webcam,4,1881
ORD0124,CUST017,2026-02-08,Mouse,2,559
ORD0028,CUST008,2026-01-03,Mouse,3,574
ORD0078,CUST017,2026-03-16,Monitor,5,9919
ORD0055,cust004,2026-05-22,Webcam,2,1870
ORD0010,CUST009,2026-02-27,Monitor,2,8607
ORD0060,CUST013,2026-03-09,Laptop,3,59676
ORD0003,CUST022,2026-05-27,Mouse,1,601
ORD0001,CUST018,2026-06-20,Monitor,3,9465
ORD0090,CUST030,2026-01-01,Laptop,2,53310
ORD0064,CUST030,2026-04-09,Laptop,4,52937
