Iteration,Activity,Previous_Z,Z_Value,Sigma,UCL,LCL,Drift
1,2.12,2.148216,2.1476516800000005,0.0024494200000000025,2.15311484,2.14331716,False
2,2.28,2.1476516800000005,2.1502986464000005,0.003429537899291766,2.1550750757985835,2.1413569242014168,False
3,2.25,2.1502986464000005,2.1522926734720005,0.004158800791460502,2.1565336015829213,2.139898398417079,False
4,2.2,2.1522926734720005,2.1532468200025603,0.004755036871375407,2.157726073742751,2.1387059262572494,False
5,2.21,2.1532468200025603,2.1543818836025093,0.00526447177871373,2.1587449435574277,2.1376870564425725,False
6,2.02,2.1543818836025093,2.151694245930459,0.005711113795588556,2.159638227591177,2.136793772408823,False
7,2.17,2.151694245930459,2.15206036101185,0.006109406928616715,2.1604348138572336,2.1359971861427667,False
8,2.06,2.15206036101185,2.1502191537916127,0.006468882992933208,2.1611537659858664,2.135278234014134,False
9,2.13,2.1502191537916127,2.1498147707157806,0.006796247950485665,2.1618084959009716,2.1346235040990287,False
10,2.22,2.1498147707157806,2.151218475301465,0.007096447046739881,2.16240889409348,2.1340231059065204,False
