Column,Maeaning,T_Value,P_Value,Alpha,Decision,Cohens_D,Effect_Size,,
MD1_DREH,Rotation/torque-related process value,-1.732114349,0.083264516,0.05,Accepted,-0.010591268,Very Small,absoluteCohensD < 0.2,Very Small
MD3_DREH,Rotation/torque-related process value,0.436980817,0.662296796,0.05,Accepted,0.01750879,Very Small,absoluteCohensD < 0.5,Small
WUCHTVERS_ANZ,Number of balancing attempts,34.98180877,1.22E-141,0.05,Rejected,1.48847783,Large,absoluteCohensD < 0.8,Medium
MD1_ANLIEF_MG,Measured process value at input/initial point,-6.200545978,1.12E-09,0.05,Rejected,-0.310358325,Small,else:,Large
MD1_ANLIEF_G,Measured process value at input/initial point,0.172976527,0.862734084,0.05,Accepted,0.007671631,Very Small,,
MD1_AUSLIEF_MG,Measured process value at output/final point,-26.13427114,4.49E-97,0.05,Rejected,-6.754596678,Large,,
MD1_AUSLIEF_G,Measured process value at output/final point,-0.995052109,0.320153004,0.05,Accepted,-0.04494274,Very Small,,
MD2_ANLIEF_MG,Measured process value at input/initial point,-5.505095325,5.72E-08,0.05,Rejected,-0.290589512,Small,,
MD2_ANLIEF_G,Measured process value at input/initial point,-0.084654648,0.932567054,0.05,Accepted,-0.003788819,Very Small,,
MD2_AUSLIEF_MG,Measured process value at output/final point,-20.30864816,4.14E-68,0.05,Rejected,-4.918530378,Large,,
MD2_AUSLIEF_G,Measured process value at output/final point,-0.171842414,0.863625287,0.05,Accepted,-0.007770995,Very Small,,
MD3_ANLIEF_MG,Measured process value at input/initial point,0.75225886,0.452212752,0.05,Accepted,0.026483458,Very Small,,
MD3_ANLIEF_G,Measured process value at input/initial point,0.024611234,0.980374094,0.05,Accepted,0.001139938,Very Small,,
MD3_AUSLIEF_MG,Measured process value at output/final point,-0.994461247,0.320453836,0.05,Accepted,-0.106423784,Very Small,,
MD3_AUSLIEF_G,Measured process value at output/final point,0.106393259,0.915309775,0.05,Accepted,0.005255474,Very Small,,
EB1_ANLIEF_MG,Measured process value at input/initial point,-7.625808514,1.10E-13,0.05,Rejected,-0.380776015,Small,,
EB1_ANLIEF_G,Measured process value at input/initial point,0.57054528,0.568542774,0.05,Accepted,0.02498066,Very Small,,
EB1_AUSLIEF_MG,Measured process value at output/final point,-21.12262202,3.77E-72,0.05,Rejected,-5.00969769,Large,,
EB1_AUSLIEF_G,Measured process value at output/final point,1.296602793,0.195315923,0.05,Accepted,0.056782167,Very Small,,
EB2_ANLIEF_MG,Measured process value at input/initial point,-7.149434804,2.84E-12,0.05,Rejected,-0.354814744,Small,,
EB2_ANLIEF_G,Measured process value at input/initial point,0.131554383,0.895385146,0.05,Accepted,0.005600089,Very Small,,
EB2_AUSLIEF_MG,Measured process value at output/final point,-21.63255131,1.09E-74,0.05,Rejected,-4.843157797,Large,,
EB2_AUSLIEF_G,Measured process value at output/final point,1.051959548,0.293283575,0.05,Accepted,0.045884073,Very Small,,
PD1_ANLIEF_1_MV,Measured process value at input/initial point,-71.86551909,6.66E-280,0.05,Rejected,-3.266762771,Large,,
PD1_ANLIEF_1_G,Measured process value at input/initial point,1.311684813,0.190177635,0.05,Accepted,0.056855531,Very Small,,
PD1_AUSLIEF_1_MV,Measured process value at output/final point,-115.9273327,0,0.05,Rejected,-3.496700322,Large,,
