TBADatenID,EQUI,LGNR,DATUM,AP,MASTERDAT,FA,MATNR,PERS,STK_GES,STK_NIO,STK_IO,MD1_DREH,MD2_DREH,MD3_DREH,MD4_DREH,PD1_DREH,PD2_DREH,PD3_DREH,PD4_DREH,WUCHTVERS_ANZ,DAUER_PRO_ATL,STATUS,DOK,MD1_ANLIEF_MG,MD1_ANLIEF_G,MD1_AUSLIEF_MG,MD1_AUSLIEF_G,MD2_ANLIEF_MG,MD2_ANLIEF_G,MD2_AUSLIEF_MG,MD2_AUSLIEF_G,MD3_ANLIEF_MG,MD3_ANLIEF_G,MD3_AUSLIEF_MG,MD3_AUSLIEF_G,MD4_ANLIEF_MG,MD4_ANLIEF_G,MD4_AUSLIEF_MG,MD4_AUSLIEF_G,EB1_ANLIEF_MG,EB1_ANLIEF_G,EB1_AUSLIEF_MG,EB1_AUSLIEF_G,EB2_ANLIEF_MG,EB2_ANLIEF_G,EB2_AUSLIEF_MG,EB2_AUSLIEF_G,PD1_ANLIEF_1_MV,PD1_ANLIEF_1_G,PD1_AUSLIEF_1_MV,PD1_AUSLIEF_1_G,PD2_ANLIEF_1_MV,PD2_ANLIEF_1_G,PD2_AUSLIEF_1_MV,PD2_AUSLIEF_1_G,PD3_ANLIEF_1_MV,PD3_ANLIEF_1_G,PD3_AUSLIEF_1_MV,PD3_AUSLIEF_1_G,PD4_ANLIEF_1_MV,PD4_ANLIEF_1_G,PD4_AUSLIEF_1_MV,PD4_AUSLIEF_1_G,ARBEITSGANG,KALI_LADER,OEL_DURCHFLUSS,OEL_DRUCK,OEL_TEMPERATUR,PF_SET,PF_TORQUE,PF_ANGLE,SPANN_DRUCK,Gesamtdurchlaufzeit,System
5013370,1,0020007910431251065004261403123C,2026-06-03 07:12:27,314116, , ,104319220140,0,0,0,0,57000,110000,0,0,120000,0,0,0,3,3:06,1002,503,"27,2      ",191,"4,06      ",72,"19,97     ",192,"0,54      ",54,0         ,0,0         ,0,0,0,0,0,"31,45     ",171,0         ,0,"6,03      ",80,0         ,0,"6,88      ",177,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,32      ",5         ,"45,54     ",3,"4,77      ",93,"65,03     ",3:37      ,3
5012150,1,0020007910431251065004261426167C,2026-06-02 21:24:04,314116, , ,104319220140,0,0,0,0,57000,110000,0,0,120000,0,0,0,1,1:12,1002,503,"44,01     ",13,"14,61     ",20,"15,44     ",19,"3,66      ",12,0         ,0,0         ,0,0,0,0,0,"19,11     ",5,0         ,0,"17,47     ",329,0         ,0,"1,44      ",212,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,36      ",5         ,"45,05     ",3,"4,9       ",93,"65,03     ",1:43      ,3
5019913,1,0020007910431251065004261431775A,2026-06-05 08:29:34,304212, , ,104319220151,0,0,0,0,57000,110000,0,0,120000,0,0,0,3,3:08,1002,503,"54,83     ",347,"3,24      ",347,"53,41     ",328,"3,62      ",314,0         ,0,0         ,0,0,0,0,0,"36,84     ",77,0         ,0,"6,2       ",240,0         ,0,"1,93      ",147,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,59      ","4,97      ","45,42     ",14,"4,74      ",94,"64,92     ",3:39      ,3
5019078,1,0020007910431251065004261431815A,2026-06-05 01:12:11,304212, , ,104319220140,0,0,0,0,57000,110000,0,0,120000,0,0,0,1,1:14,1002,503,"27,05     ",226,"6,51      ",345,"7,07      ",170,"3,2       ",4,0         ,0,0         ,0,0,0,0,0,"5,81      ",263,0         ,0,"10,47     ",340,0         ,0,"3,58      ",32,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,6       ","4,96      ","45,42     ",14,"4,39      ",94,"65,05     ",1:45      ,3
5013394,1,0020007910431251065004261431830A,2026-06-03 07:20:15,314116, , ,104319220140,0,0,0,0,57000,110000,0,0,120000,0,0,0,0,0:16,1002,503,0         ,0,"56,46     ",194,0         ,0,"15,23     ",195,0         ,0,0         ,0,0,0,0,0,0         ,0,0         ,0,0         ,0,0         ,0,0         ,0,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,23      ","4,97      ","44,9      ",3,"4,22      ",93,"65,46     ",0:51      ,3
5012985,1,0020007910431251065004261431999B,2026-06-03 03:37:04,314116, , ,104319220140,0,0,0,0,57000,110000,0,0,120000,0,0,0,0,0:16,1002,503,0         ,0,"15,92     ",264,0         ,0,"0,29      ",324,0         ,0,0         ,0,0,0,0,0,0         ,0,0         ,0,0         ,0,0         ,0,0         ,0,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,26      ","4,95      ","45,42     ",3,"4,13      ",94,"65,46     ",0:46      ,3
5013389,1,0020007910431251065004261432386C,2026-06-03 07:19:23,314116, , ,104319220140,0,0,0,0,57000,110000,0,0,120000,0,0,0,1,1:06,1002,503,"5,9       ",72,"7,73      ",218,"8,21      ",41,"1,19      ",151,0         ,0,0         ,0,0,0,0,0,"14,5      ",17,0         ,0,"3,13      ",192,0         ,0,"1,07      ",13,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,35      ","4,96      ","44,96     ",3,"4,54      ",93,"65,03     ",1:36      ,3
5027978,1,0020007910431251065004261436969B,2026-06-07 11:20:18,304212, , ,104319220140,0,0,0,0,57000,110000,0,0,120000,0,0,0,2,2:09,1002,503,"47,97     ",227,"4,19      ",201,"36,12     ",240,"1,86      ",218,0         ,0,0         ,0,0,0,0,0,"22,3      ",349,0         ,0,"10,48     ",258,0         ,0,"2,98      ",255,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,46      ","5,02      ","45,63     ",14,"4,53      ",94,"64,83     ",2:41      ,3
5026343,1,0020007910431251065004261437466C,2026-06-07 00:08:14,304212, , ,104319220140,0,0,0,0,57000,110000,0,0,120000,0,0,0,1,1:15,1002,503,"65,93     ",37,"21,14     ",25,"52,88     ",27,"12,16     ",31,0         ,0,0         ,0,0,0,0,0,"35,86     ",133,0         ,0,"2,7       ",103,0         ,0,"1,68      ",274,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,41      ","4,96      ","44,99     ",14,"4,17      ",94,"65,1      ",3:42      ,3
5026418,1,0020007910431251065004261437542C,2026-06-07 00:38:19,304212, , ,104319220140,0,0,0,0,57000,110000,0,0,120000,0,0,0,2,2:10,1002,503,"13,66     ",228,"7,02      ",270,"9,46      ",287,"2,9       ",311,0         ,0,0         ,0,0,0,0,0,"5,3       ",40,0         ,0,"6,62      ",276,0         ,0,"2,15      ",297,0         ,0,0,0,0,0,0,0,0,0,0,0,0,0,UCX31_x0001_|_x0007_:, ,"1,51      ","4,91      ","46,55     ",14,"4,16      ",94,"64,97     ",2:41      ,3
